2026-03-19 14:52:53 [INFO   ] EmbedSim.sink — EmbedSim init  T=0.8 s  dt=0.0005 s  solver=EULER  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\sink_20260319_145253.log
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.003000 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.003000 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.003000 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  vf_dq                           (VfDQBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  cg_start                        (CodeGenStart)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  svpwm                           (SVPWMBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.003500 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  vf_dq                           (VfDQBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  cg_start                        (CodeGenStart)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  svpwm                           (SVPWMBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.004000 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  vf_dq                           (VfDQBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  cg_start                        (CodeGenStart)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  svpwm                           (SVPWMBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.004500 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  vf_dq                           (VfDQBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  cg_start                        (CodeGenStart)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  svpwm                           (SVPWMBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.005000 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  vf_dq                           (VfDQBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  cg_start                        (CodeGenStart)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  svpwm                           (SVPWMBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.005500 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  vf_dq                           (VfDQBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  cg_start                        (CodeGenStart)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  svpwm                           (SVPWMBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.006000 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  vf_dq                           (VfDQBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  cg_start                        (CodeGenStart)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  svpwm                           (SVPWMBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.006500 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  speed_ref                       (SpeedRampBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  vf_angle                        (VfAngleWithBoostBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  vf_dq                           (VfDQBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  vf_theta                        (VfThetaBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  inv_park                        (InvParkTransformBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  svpwm_pack                      (SVPWMPackBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  cg_start                        (CodeGenStart)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  svpwm                           (SVPWMBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  motor_sink                      (DB42S02PlantBlock)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  sink                            (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  cg_end                          (CodeGenEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00014  t=0.007000 s  sink_cg                         (VectorEnd)
2026-03-19 14:53:00 [DEBUG  ] EmbedSim.sink — EXEC   step=00015  t=0.007500 s  speed_ref                       (SpeedRampBlock)
